,drift,atd,abund185.1,abund203.1,abund205.1,abund245.1,abund259.1,abund275.1,abund277.1,abund305.1,abund347.1,abund365.1,abund367.1,abund407.1,abund437.2,abund439.2,abund467.2,abund509.2,abund529.2
0,0,104.975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,105.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,105.485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,105.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,105.995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,106.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,106.505,3,0,0,0,0,0,0,0,7,0,17,0,0,0,0,0,35
7,7,106.76,10,0,17,4,0,0,0,0,41,0,45,5,0,0,12,0,188
8,8,107.015,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,14
9,9,107.27,6,0,0,0,0,0,0,0,9,0,35,0,0,0,6,0,35
10,10,107.525,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3
11,11,107.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2
12,12,108.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
13,13,108.29,28,0,12,8,0,0,0,0,91,19,110,0,0,0,8,28,181
14,14,108.545,21,2,34,5,0,0,0,2,107,87,198,7,0,0,5,101,239
15,15,108.8,60,41,90,20,11,0,0,47,682,276,480,13,3,7,22,307,669
16,16,109.055,195,47,204,23,0,9,5,32,1592,613,1408,6,0,0,41,836,1535
17,17,109.31,196,77,450,18,3,7,0,121,2865,1084,2586,8,0,3,97,1313,2953
18,18,109.565,432,144,819,22,4,8,5,235,4472,1466,3953,26,0,8,113,2357,4704
19,19,109.82,510,252,751,69,15,4,24,291,5802,2045,5071,28,0,7,136,2878,6199
20,20,110.075,578,239,920,91,12,22,5,324,5814,2209,4979,47,6,0,135,3231,5976
21,21,110.33,422,200,760,59,9,6,8,158,4881,1923,4152,29,3,0,184,2647,5309
22,22,110.585,248,147,463,71,9,13,0,146,3586,1189,3131,20,4,0,78,1880,3641
23,23,110.84,171,52,246,77,17,5,6,96,2080,753,1927,14,3,13,60,1307,2167
24,24,111.095,173,69,152,85,3,11,0,67,1372,429,1062,3,0,0,69,660,1232
25,25,111.35,164,39,170,102,0,2,0,73,883,326,875,48,0,0,97,350,1025
26,26,111.605,144,76,254,65,8,4,0,116,1627,545,1392,42,0,0,172,548,1653
27,27,111.86,353,120,510,83,3,21,0,220,3647,1191,3238,56,0,0,330,1499,3718
28,28,112.115,630,265,851,81,0,2,16,384,7906,3038,6292,133,3,15,445,3105,7557
29,29,112.37,1081,358,1455,100,37,0,18,467,13679,5250,10726,216,0,4,594,6148,14350
30,30,112.625,1539,553,1963,109,34,16,32,633,21658,7688,15064,195,14,38,759,9538,22195
31,31,112.88,1784,875,2073,158,14,24,38,572,27045,9899,18377,183,21,43,676,12220,26562
32,32,113.135,1621,739,2006,97,22,27,60,541,27362,10111,17493,163,12,37,501,12619,27953
33,33,113.39,1469,642,1416,76,16,9,32,403,23325,8664,14623,82,16,35,338,11038,23497
34,34,113.645,1002,333,1104,60,56,17,22,283,16312,6202,10010,62,14,21,182,7464,17065
35,35,113.9,669,265,600,43,10,25,29,126,9878,3726,6417,18,11,11,165,4988,9708
36,36,114.155,251,139,399,30,18,0,15,101,4718,2030,3660,30,2,0,76,2438,5009
37,37,114.41,155,84,280,35,0,10,15,80,2415,1096,1943,29,26,12,85,1144,2991
38,38,114.665,91,22,182,48,7,0,0,64,1483,603,1420,19,18,1,83,541,1756
39,39,114.92,74,7,174,26,0,0,8,74,814,568,1363,46,31,0,58,394,1660
40,40,115.175,136,56,220,20,26,7,4,132,732,432,1343,114,38,4,131,410,1697
41,41,115.43,43,30,167,54,15,17,12,129,607,389,1657,91,63,11,199,250,1632
42,42,115.685,71,31,230,16,0,48,6,181,602,335,1467,239,126,0,541,313,2040
43,43,115.94,72,43,191,32,14,55,18,214,714,362,1693,303,312,18,754,373,2380
44,44,116.195,24,15,209,64,13,151,11,342,703,448,1737,505,331,19,1066,476,2997
45,45,116.45,48,26,283,70,7,125,18,398,787,430,2394,515,520,13,1084,617,3650
46,46,116.705,55,13,336,82,23,162,9,454,1002,545,2976,561,967,16,1414,716,4738
47,47,116.96,75,51,363,104,42,309,5,494,856,434,4587,772,1133,18,1593,767,7271
48,48,117.215,50,25,556,127,42,360,21,642,1128,359,7302,899,1555,32,2262,1017,11179
49,49,117.47,109,26,1167,145,52,523,28,1066,1767,325,11382,1545,2115,98,3431,1121,18355
50,50,117.725,245,62,2297,229,53,816,114,1662,2853,357,21625,2302,3872,97,5990,1423,33453
51,51,117.98,442,109,4598,379,82,1298,101,3560,5022,440,46164,4595,6733,130,12069,2280,71285
52,52,118.235,954,118,8431,844,111,2472,262,7889,9679,754,95134,8638,11980,280,26463,4163,150114
53,53,118.49,1398,157,14215,1216,146,4370,444,14623,19478,1284,186647,16501,20335,476,55347,6261,306343
54,54,118.745,2067,252,21418,1784,152,6577,696,25314,33144,1865,324677,30397,31850,951,97900,10338,542183
55,55,119.0,2915,244,27921,2658,277,8844,1171,39131,51475,2644,478251,45737,45498,1446,148702,15024,809796
56,56,119.255,3617,303,32596,3020,178,10360,1316,46936,68453,3191,596296,56559,54075,1657,191893,19715,1021604
57,57,119.51,4626,455,34814,3103,288,10448,1433,52605,84864,3446,655663,60922,56687,1854,207501,22912,1128851
58,58,119.765,5645,327,34806,2988,158,9409,1299,51488,98472,3659,659491,57818,51289,1738,203712,23985,1123509
59,59,120.02,6687,367,34402,2745,257,7765,1402,46792,114085,3320,620063,49219,42123,1636,181457,24600,1037864
60,60,120.275,8048,404,33315,2283,254,5812,1140,40713,132523,2887,569152,38379,31131,1158,149867,25267,923465
61,61,120.53,9124,413,31844,1927,215,3729,1057,35329,147601,2482,518082,28617,19956,1056,121453,23947,815429
62,62,120.785,9082,449,29589,1103,230,2285,959,30148,158049,2103,470467,20535,12126,823,94245,22425,727930
63,63,121.04,9339,343,28396,854,209,1577,882,25530,161217,1963,432404,14882,6901,518,73550,20457,657892
64,64,121.295,8867,304,25388,757,159,804,781,21346,156603,1640,386483,10628,3213,562,59534,16870,588880
65,65,121.55,8518,283,22907,556,214,375,718,17930,143922,1335,343764,7744,1873,369,44411,14010,522633
66,66,121.805,6966,300,19395,537,89,204,708,14306,126787,1107,291117,6209,770,319,34170,10051,450726
67,67,122.06,6275,164,15712,305,42,138,444,10967,104725,925,237876,4447,369,287,25800,7409,370945
68,68,122.315,4880,197,12271,366,90,43,364,8294,81476,634,185634,3058,185,229,18605,5230,294020
69,69,122.57,3300,183,9528,198,52,24,235,5613,61583,570,139034,2183,85,174,12583,3246,219533
70,70,122.825,2533,83,6020,137,56,16,208,3767,42238,302,94122,1380,42,73,8424,1801,153074
71,71,123.08,1569,77,4088,46,34,6,63,2271,25100,214,59583,803,38,68,4570,1242,96297
72,72,123.335,887,26,2366,37,13,7,81,1420,14200,161,34319,443,11,64,2574,609,53145
73,73,123.59,510,12,1165,38,0,8,28,576,6834,69,16042,268,10,32,1238,201,25731
74,74,123.845,198,8,529,8,0,3,19,223,3105,34,7042,157,3,15,511,125,10652
75,75,124.1,65,12,142,0,0,6,2,176,1216,15,2970,45,4,15,245,52,4230
76,76,124.355,19,0,37,2,0,0,10,46,506,3,1120,22,0,0,84,28,1567
77,77,124.61,0,0,0,0,0,0,0,4,13,0,18,0,0,2,0,4,37
78,78,124.865,0,0,11,0,0,0,0,14,15,0,70,0,0,0,19,19,112
79,79,125.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,80,125.375,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,16
81,81,125.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
82,82,125.885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,83,126.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,84,126.395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,85,126.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,86,126.905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,87,127.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,88,127.415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
89,89,127.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
90,90,127.925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,91,128.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,92,128.435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,93,128.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,94,128.945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
95,95,129.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,96,129.455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
97,97,129.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,98,129.965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,99,130.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,100,130.475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
101,101,130.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,102,130.985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,103,131.24,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8
104,104,131.495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,105,131.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,106,132.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,107,132.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
108,108,132.515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,109,132.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,110,133.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,111,133.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
112,112,133.535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,113,133.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,114,134.045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,115,134.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,116,134.555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
117,117,134.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,118,135.065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,119,135.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,120,135.575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,121,135.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,122,136.085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,123,136.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,124,136.595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,125,136.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,126,137.105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,127,137.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,128,137.615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,129,137.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,130,138.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,131,138.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,132,138.635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
133,133,138.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,134,139.145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,135,139.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,136,139.655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,137,139.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,138,140.165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,139,140.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,140,140.675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,141,140.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,142,141.185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,143,141.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,144,141.695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,145,141.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,146,142.205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,147,142.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,148,142.715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,149,142.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,150,143.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,151,143.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,152,143.735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
153,153,143.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,154,144.245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,155,144.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,156,144.755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,157,145.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,158,145.265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,159,145.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,160,145.775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,161,146.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,162,146.285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,163,146.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,164,146.795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,165,147.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,166,147.305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,167,147.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,168,147.815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,169,148.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,170,148.325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,171,148.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,172,148.835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,173,149.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,174,149.345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,175,149.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,176,149.855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,177,150.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,178,150.365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,179,150.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,180,150.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,181,151.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,182,151.385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,183,151.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,184,151.895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,185,152.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,186,152.405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,187,152.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,188,152.915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,189,153.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,190,153.425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,191,153.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,192,153.935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,193,154.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,194,154.445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,195,154.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,196,154.955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,197,155.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,198,155.465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,199,155.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
