,drift,atd,abund185.1,abund203.1,abund205.1,abund245.1,abund259.1,abund277.1,abund305.1,abund347.1,abund365.1,abund367.1,abund407.1,abund439.2,abund467.2,abund509.2,abund529.2
0,0,104.975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,105.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,105.485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,105.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,105.995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,106.25,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11
6,6,106.505,5,10,0,7,0,0,0,12,5,36,0,0,0,8,37
7,7,106.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8,107.015,0,0,8,8,0,0,0,7,0,41,0,14,15,6,67
9,9,107.27,0,0,0,0,3,0,0,8,0,15,0,0,4,6,105
10,10,107.525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,11,107.78,8,0,6,5,0,12,0,9,6,28,0,0,0,0,66
12,12,108.035,0,0,0,0,0,0,0,22,0,14,0,0,0,9,56
13,13,108.29,5,0,0,4,0,0,0,58,11,57,0,0,8,32,76
14,14,108.545,0,0,35,0,8,0,6,180,49,135,6,0,0,17,139
15,15,108.8,30,29,59,0,0,0,34,351,110,256,4,0,21,143,299
16,16,109.055,44,58,112,9,7,0,32,659,309,614,0,0,7,349,811
17,17,109.31,111,42,247,28,0,0,81,1523,543,1413,20,5,12,813,1418
18,18,109.565,201,80,346,34,5,3,159,2406,873,2058,15,0,96,1260,2385
19,19,109.82,274,120,399,9,19,10,120,3219,1071,2661,31,2,65,1626,3275
20,20,110.075,289,96,571,43,5,8,229,3525,1283,3000,27,0,122,1785,3339
21,21,110.33,299,92,501,50,16,0,165,3148,1250,2672,10,0,58,1682,3196
22,22,110.585,187,107,255,68,6,0,151,2393,894,2051,0,5,58,1377,2548
23,23,110.84,198,34,238,58,0,0,94,1545,580,1284,4,0,25,870,1550
24,24,111.095,106,25,77,56,2,0,85,726,349,686,4,16,20,433,830
25,25,111.35,42,6,76,18,0,0,50,444,167,559,4,0,21,226,554
26,26,111.605,132,12,73,42,0,0,69,663,252,733,51,3,77,291,656
27,27,111.86,147,58,247,91,0,0,97,1515,524,1604,54,0,141,550,1631
28,28,112.115,326,113,373,60,0,3,186,3616,1316,3215,65,21,219,1319,3649
29,29,112.37,555,158,721,70,16,8,193,7524,2738,5299,96,7,331,3001,7290
30,30,112.625,746,362,1039,89,12,14,472,11951,4243,8234,78,28,336,5124,12404
